"日付","客数","新規","実客数","請求金額計","★支払い合計","現金","売掛金","ﾌﾟﾘﾍﾟｲﾄﾞ","EC連携","PAX-A920","クレジットカード","サブスク連携","ポイント支払い","外部ポイント","振り込み","返金対応","電子マネー","★掛回収","★総売上","施術売上","店販売上","役務売上","ﾁｹｯﾄ消化","ﾌﾟﾘﾍﾟｲﾄﾞ消化","項目割引","損金","ｷｬﾝｾﾙ手数料","ｸﾚｼﾞｯﾄ手数料","未払金"
"26/04/01 (水)","14","6","14","130,000","130,000","0","0","0","0","100,000","0","0","0","0","30,000","0","0","30,000","100,000","8,000","0","92,000","65,282","0","0","0","0","0","0"
"26/04/02 (木)","22","6","22","311,000","311,000","0","0","0","0","311,000","0","0","0","0","0","0","0","0","311,000","8,000","0","303,000","155,566","0","0","0","0","0","0"
"26/04/03 (金)","20","2","19","66,000","66,000","0","0","0","0","42,000","0","0","0","0","24,000","0","0","24,000","42,000","2,000","0","40,000","162,666","0","0","0","0","0","0"
"26/04/04 (土)","25","2","24","36,500","36,500","0","0","0","0","36,500","0","0","0","0","0","0","0","0","36,500","2,000","0","34,500","233,250","0","0","0","0","0","0"
"26/04/05 (日)","12","5","12","404,300","404,300","0","24,000","0","0","310,300","0","70,000","0","0","0","0","0","0","404,300","11,500","0","392,800","74,000","0","0","0","0","0","0"
"26/04/06 (月)","19","1","19","47,000","47,000","34,000","0","0","0","13,000","0","0","0","0","0","0","0","12,000","35,000","1,000","0","34,000","174,250","0","0","0","0","0","0"
"26/04/07 (火)","16","1","16","1,000","1,000","0","0","0","0","1,000","0","0","0","0","0","0","0","0","1,000","1,000","0","0","150,216","0","0","0","0","0","0"
"26/04/08 (水)","13","4","13","48,000","48,000","24,000","0","0","0","24,000","0","0","0","0","0","0","0","0","48,000","4,000","0","44,000","89,450","0","0","0","0","0","0"
"26/04/09 (木)","26","5","26","106,800","106,800","2,000","30,000","0","0","74,800","0","0","0","0","0","0","0","0","106,800","5,000","0","101,800","211,300","0","0","0","0","0","0"
"26/04/10 (金)","16","1","16","1,000","1,000","1,000","0","0","0","0","0","0","0","0","0","0","0","0","1,000","1,000","0","0","141,848","0","0","0","0","0","0"
"26/04/11 (土)","30","2","30","14,000","14,000","0","0","0","0","14,000","0","0","0","0","0","0","0","0","14,000","2,000","0","12,000","295,050","0","0","0","0","0","0"
"26/04/12 (日)","25","4","25","78,000","78,000","1,000","0","0","0","77,000","0","0","0","0","0","0","0","0","78,000","4,000","0","74,000","214,250","0","0","0","0","0","0"
"26/04/13 (月)","22","4","22","23,500","23,500","1,000","0","0","0","22,500","0","0","0","0","0","0","0","0","23,500","8,500","0","15,000","173,166","0","0","0","0","0","0"
"26/04/14 (火)","19","1","19","32,100","32,100","1,100","0","0","0","31,000","0","0","0","0","0","0","0","0","32,100","1,000","0","31,100","179,582","0","0","0","0","0","0"
"26/04/15 (水)","16","2","16","4,962,500","4,962,500","13,000","244,000","0","0","23,000","4,623,500","0","0","0","59,000","0","0","59,000","4,903,500","2,000","0","4,901,500","142,800","0","0","0","0","0","0"
"26/04/16 (木)","19","1","19","67,000","67,000","0","0","0","0","33,000","0","0","0","0","34,000","0","0","34,000","33,000","1,000","0","32,000","182,832","0","0","0","0","0","0"
"26/04/17 (金)","19","3","19","146,000","146,000","56,000","0","0","0","53,000","0","0","0","0","37,000","0","0","37,000","109,000","3,000","0","106,000","155,000","0","0","0","0","0","0"
"26/04/18 (土)","30","1","29","45,000","45,000","0","0","0","0","45,000","0","0","0","0","0","0","0","22,000","23,000","1,000","0","22,000","266,398","0","0","0","0","0","0"
"26/04/19 (日)","17","1","16","46,000","46,000","11,000","0","0","0","35,000","0","0","0","0","0","0","0","12,000","34,000","1,000","0","33,000","159,500","0","0","0","0","0","0"
"26/04/20 (月)","20","5","20","143,000","143,000","0","0","0","1,000","142,000","0","0","0","0","0","0","0","0","143,000","7,000","0","136,000","156,466","0","0","0","0","0","0"
"26/04/21 (火)","27","2","24","66,000","66,000","0","0","0","0","66,000","0","0","0","0","0","0","0","12,000","54,000","2,000","0","52,000","237,800","0","0","0","0","0","0"
"26/04/22 (水)","28","2","28","29,000","29,000","0","0","0","0","29,000","0","0","0","0","0","0","0","0","29,000","4,000","0","25,000","256,216","0","0","0","0","0","0"
"26/04/23 (木)","21","2","20","45,000","45,000","10,000","0","0","0","13,000","0","0","0","0","22,000","0","0","34,000","11,000","1,000","0","10,000","187,400","0","0","0","0","0","0"
"26/04/24 (金)","24","4","24","55,170","55,170","0","0","0","0","55,170","0","0","0","0","0","0","0","0","55,170","4,000","0","51,170","201,336","0","0","0","0","0","0"
"26/04/25 (土)","40","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","415,966","0","0","0","0","0","0"
"26/04/26 (日)","12","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","126,332","0","0","0","0","0","0"
"合計","","","","6,903,870","6,903,870","154,100","298,000","0","1,000","1,551,270","4,623,500","70,000","0","0","206,000","0","0","276,000","6,627,870","85,000","0","6,542,870","4,807,922","0","0","0","0","0","0"
