"日付","客数","新規","実客数","請求金額計","★支払い合計","現金","売掛金","ﾌﾟﾘﾍﾟｲﾄﾞ","EC連携","PAX-A920","クレジットカード","サブスク連携","ポイント支払い","外部ポイント","振り込み","返金対応","電子マネー","★掛回収","★総売上","施術売上","店販売上","役務売上","ﾁｹｯﾄ消化","ﾌﾟﾘﾍﾟｲﾄﾞ消化","項目割引","損金","ｷｬﾝｾﾙ手数料","ｸﾚｼﾞｯﾄ手数料","未払金"
"26/04/01 (水)","13","2","13","12,000","12,000","0","-12,000","0","0","24,000","0","0","0","0","0","0","0","0","12,000","2,000","0","10,000","110,800","0","0","0","0","0","0"
"26/04/02 (木)","12","4","12","19,000","19,000","0","0","0","0","19,000","0","0","0","0","0","0","0","0","19,000","7,000","0","12,000","66,500","0","0","0","0","0","0"
"26/04/03 (金)","12","2","12","23,000","23,000","0","0","0","0","23,000","0","0","0","0","0","0","0","0","23,000","1,000","0","22,000","81,000","0","0","0","0","0","0"
"26/04/04 (土)","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52,000","0","0","0","0","0","0"
"26/04/05 (日)","16","0","16","44,500","44,500","0","0","0","0","0","0","44,500","0","0","0","0","0","0","44,500","0","0","44,500","144,600","0","0","0","0","0","0"
"26/04/06 (月)","17","2","16","24,000","24,000","0","0","0","0","24,000","0","0","0","0","0","0","0","22,000","2,000","2,000","0","0","148,000","0","0","0","0","0","0"
"26/04/07 (火)","11","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","111,000","0","0","0","0","0","0"
"26/04/08 (水)","15","1","15","1,000","1,000","0","0","0","0","1,000","0","0","0","0","0","0","0","0","1,000","1,000","0","0","142,566","0","0","0","0","0","0"
"26/04/09 (木)","18","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","183,050","0","0","0","0","0","0"
"26/04/10 (金)","13","1","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92,300","0","0","0","0","0","0"
"26/04/11 (土)","15","0","15","30,000","30,000","30,000","0","0","0","0","0","0","0","0","0","0","0","0","30,000","0","0","30,000","149,050","0","0","0","0","0","0"
"26/04/12 (日)","12","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","122,466","0","0","0","0","0","0"
"26/04/13 (月)","17","4","17","53,800","53,800","0","0","0","0","52,800","0","0","0","0","0","0","1,000","0","53,800","4,000","0","49,800","127,450","0","0","0","0","0","0"
"26/04/14 (火)","16","2","16","4,000","4,000","0","0","0","0","4,000","0","0","0","0","0","0","0","0","4,000","4,000","0","0","119,750","0","0","0","0","0","0"
"26/04/15 (水)","15","3","14","3,747,300","3,747,300","0","246,000","0","0","82,800","3,418,500","0","0","0","0","0","0","30,000","3,717,300","3,000","0","3,714,300","97,166","0","0","0","0","0","0"
"26/04/16 (木)","16","4","16","66,000","66,000","0","0","0","0","1,000","31,000","0","0","0","33,000","0","1,000","30,000","36,000","3,000","0","33,000","78,500","0","0","0","0","0","0"
"26/04/17 (金)","16","1","16","3,500","3,500","0","0","0","0","2,500","1,000","0","0","0","0","0","0","0","3,500","1,000","0","2,500","155,000","0","0","0","0","0","0"
"26/04/18 (土)","23","0","22","30,000","30,000","0","0","0","0","0","0","30,000","0","0","0","0","0","30,000","0","0","0","0","204,966","0","0","0","0","0","0"
"26/04/19 (日)","16","1","15","30,000","30,000","0","0","0","0","0","30,000","0","0","0","0","0","0","30,000","0","0","0","0","143,300","0","0","0","0","0","0"
"26/04/20 (月)","15","1","15","1,000","1,000","0","0","0","0","0","1,000","0","0","0","0","0","0","0","1,000","1,000","0","0","148,000","0","0","0","0","0","0"
"26/04/21 (火)","16","0","15","30,000","30,000","0","0","0","0","0","0","0","0","0","30,000","0","0","30,000","0","0","0","0","166,000","0","0","0","0","0","0"
"26/04/22 (水)","18","1","18","145,500","145,500","2,500","0","0","0","121,000","0","0","0","0","0","0","22,000","0","145,500","1,000","0","144,500","176,200","0","0","0","0","0","0"
"26/04/23 (木)","17","4","17","49,000","49,000","0","0","0","0","27,000","0","0","0","0","22,000","0","0","22,000","27,000","5,000","0","22,000","126,500","0","0","0","0","0","0"
"26/04/24 (金)","13","2","13","400,400","400,400","0","0","0","0","399,900","0","0","0","500","0","0","0","0","400,400","2,000","0","398,400","109,000","0","0","0","0","0","0"
"26/04/25 (土)","12","1","12","31,000","31,000","0","0","0","0","31,000","0","0","0","0","0","0","0","0","31,000","1,000","0","30,000","117,166","0","0","0","0","0","0"
"合計","","","","4,745,000","4,745,000","32,500","234,000","0","0","813,000","3,481,500","74,500","0","500","85,000","0","24,000","194,000","4,551,000","38,000","0","4,513,000","3,172,330","0","0","0","0","0","0"
