"日付","客数","新規","実客数","請求金額計","★支払い合計","現金","売掛金","ﾌﾟﾘﾍﾟｲﾄﾞ","EC連携","PAX-A920","クレジットカード","サブスク連携","ポイント支払い","外部ポイント","振り込み","返金対応","電子マネー","★掛回収","★総売上","施術売上","店販売上","役務売上","ﾁｹｯﾄ消化","ﾌﾟﾘﾍﾟｲﾄﾞ消化","項目割引","損金","ｷｬﾝｾﾙ手数料","ｸﾚｼﾞｯﾄ手数料","未払金"
"26/04/01 (水)","11","1","11","46,000","46,000","1,000","0","0","0","45,000","0","0","0","0","0","0","0","0","46,000","1,000","0","45,000","98,750","0","0","0","0","0","0"
"26/04/02 (木)","10","2","10","14,000","14,000","0","0","0","0","14,000","0","0","0","0","0","0","0","0","14,000","2,000","0","12,000","78,000","0","0","0","0","0","0"
"26/04/03 (金)","9","4","9","354,800","354,800","0","0","0","0","354,800","0","0","0","0","0","0","0","0","354,800","4,000","0","350,800","47,500","0","0","0","0","0","0"
"26/04/04 (土)","6","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60,750","0","0","0","0","0","0"
"26/04/05 (日)","5","0","5","52,000","52,000","0","0","0","0","0","0","52,000","0","0","0","0","0","0","52,000","0","0","52,000","44,500","0","0","0","0","0","0"
"26/04/06 (月)","17","2","17","4,000","4,000","3,000","0","0","0","1,000","0","0","0","0","0","0","0","0","4,000","4,000","0","0","153,500","0","0","0","0","0","0"
"26/04/07 (火)","12","1","12","51,000","51,000","0","0","0","0","51,000","0","0","0","0","0","0","0","0","51,000","1,000","0","50,000","108,750","0","0","0","0","0","0"
"26/04/08 (水)","10","2","10","2,000","2,000","0","0","0","0","1,000","0","0","0","0","0","0","1,000","0","2,000","2,000","0","0","80,500","0","0","0","0","0","0"
"26/04/09 (木)","12","0","12","2,500","2,500","0","0","0","0","2,500","0","0","0","0","0","0","0","0","2,500","0","0","2,500","116,000","0","0","0","0","0","0"
"26/04/10 (金)","11","1","11","1,000","1,000","0","0","0","0","0","0","0","0","1,000","0","0","0","0","1,000","1,000","0","0","96,300","0","0","0","0","0","0"
"26/04/11 (土)","14","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","139,900","0","0","0","0","0","0"
"26/04/12 (日)","8","3","8","58,000","58,000","41,000","0","0","0","0","0","0","0","0","0","0","17,000","0","58,000","3,000","0","55,000","53,000","0","0","0","0","0","0"
"26/04/13 (月)","8","2","8","29,000","29,000","0","0","0","0","29,000","0","0","0","0","0","0","0","0","29,000","2,000","0","27,000","58,500","0","0","0","0","0","0"
"26/04/14 (火)","9","2","9","33,000","33,000","1,000","0","0","0","32,000","0","0","0","0","0","0","0","0","33,000","2,000","0","31,000","66,500","0","0","0","0","0","0"
"26/04/15 (水)","9","2","9","2,451,500","2,451,500","0","108,000","0","0","24,000","2,319,500","0","0","0","0","0","0","0","2,451,500","2,000","0","2,449,500","66,500","0","0","0","0","0","0"
"26/04/16 (木)","6","1","6","1,000","1,000","0","0","0","0","0","0","0","0","0","0","0","1,000","0","1,000","1,000","0","0","49,500","0","0","0","0","0","0"
"26/04/17 (金)","16","3","16","77,000","77,000","1,000","0","0","0","76,000","0","0","0","0","0","0","0","0","77,000","7,000","0","70,000","127,750","0","0","0","0","0","0"
"26/04/18 (土)","14","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","136,750","0","0","0","0","0","0"
"26/04/19 (日)","12","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120,500","0","0","0","0","0","0"
"26/04/20 (月)","14","1","14","64,800","64,800","0","0","0","0","64,800","0","0","0","0","0","0","0","12,000","52,800","3,000","0","49,800","133,450","0","0","0","0","0","0"
"26/04/21 (火)","11","2","11","332,800","332,800","0","288,800","0","0","44,000","0","0","0","0","0","0","0","0","332,800","4,000","0","328,800","88,500","0","0","0","0","0","0"
"26/04/22 (水)","12","0","12","10,000","10,000","0","0","0","0","10,000","0","0","0","0","0","0","0","0","10,000","0","0","10,000","111,250","0","0","0","0","0","0"
"26/04/23 (木)","15","2","15","14,000","14,000","900","0","0","0","0","0","0","0","100","12,000","0","1,000","12,000","2,000","2,000","0","0","114,500","0","0","0","0","0","0"
"26/04/24 (金)","8","1","8","35,000","35,000","0","0","0","0","35,000","0","0","0","0","0","0","0","0","35,000","1,000","0","34,000","59,000","0","0","0","0","0","0"
"26/04/25 (土)","12","1","12","63,000","63,000","0","0","0","0","23,000","0","40,000","0","0","0","0","0","40,000","23,000","1,000","0","22,000","103,650","0","0","0","0","0","0"
"合計","","","","3,696,400","3,696,400","47,900","396,800","0","0","807,100","2,319,500","92,000","0","1,100","12,000","0","20,000","64,000","3,632,400","43,000","0","3,589,400","2,313,800","0","0","0","0","0","0"
